RefNum,age,job,marital,education,housing,loan,contact,day,month,duration,deposit,balance
10024614,37,technician,married,secondary,yes,no,,27,march,238,10657.8,28260
10024615,48,admin.,divorced,secondary,yes,,,23,april,71,10893.6,48240
10024616,38,blue-collar,married,secondary,yes,no,,17,may,309,,29520
10024617,44,technician,married,secondary,yes,,,11,june,408,,-17460
10024618,31,admin.,divorced,secondary,yes,no,,1,july,128,10618.2,9540
10024619,35,management,divorced,tertiary,yes,no,,15,august,297,63646.2,141840
10024620,54,technician,divorced,secondary,yes,yes,,6,september,280,36559.8,342720
10024621,28,admin.,single,secondary,yes,no,,25,october,374,17713.8,46800
10024622,38,unemployed,married,primary,yes,no,,20,november,365,29478.6,80460
10024623,48,technician,married,secondary,yes,no,,30,december,177,74133,129600
10024624,31,blue-collar,married,tertiary,yes,no,,14,january,238,0,508860
10024625,59,retired,married,,no,no,,12,february,425,0,0
10024626,29,admin.,single,secondary,yes,no,,13,march,77,42431.4,201060
10024627,28,blue-collar,married,secondary,yes,no,,24,april,223,24156,107460
10024628,50,blue-collar,married,primary,yes,!!,,22,may,201,10830.6,65160
10024629,31,self-employed,single,tertiary,yes,no,,19,june,239,5369.4,21600
10024630,32,admin.,single,secondary,yes,yes,,15,july,308,10306.8,16020
10024631,30,services,married,secondary,yes,no,,19,august,137,11509.2,79560
10024632,32,management,single,tertiary,yes,no,,20,september,162,8604,19980
10024633,29,technician,single,secondary,yes,no,,15,october,134,817.2,44460
10024634,30,admin.,divorced,secondary,yes,no,,27,november,175,127.8,180
10024635,34,management,married,primary,yes,no,,9,december,125,,1080
10024636,34,blue-collar,single,secondary,yes,no,,20,january,211,,-170460
10024637,41,blue-collar,married,primary,yes,no,,13,february,67,,34380
10024638,36,blue-collar,married,secondary,yes,no,,3,march,156,,-26460
10024639,31,technician,single,tertiary,yes,no,,12,april,943,11527.2,126540
10024640,39,blue-collar,married,primary,no,no,,5,may,813,3960,12600
10024641,36,technician,married,secondary,yes,no,,22,june,178,5292,14940
10024642,39,blue-collar,married,secondary,yes,no,,12,july,142,8008.2,22500
10024643,37,blue-collar,married,primary,yes,yes,,6,august,194,4858.2,34200
10024644,52,blue-collar,married,secondary,yes,no,,15,september,132,12938.4,8280
10024645,25,management,single,tertiary,yes,!,,9,october,109,39097.8,242640
10024646,42,technician,married,secondary,yes,%,,18,november,94,10434.6,75600
10024647,27,services,divorced,secondary,yes,no,,29,december,31,8380.8,17280
10024648,42,blue-collar,married,primary,yes,no,,27,january,84,31078.8,48780
10024649,29,admin.,divorced,secondary,yes,yes,,1,february,489,13872.6,237600
10024650,38,blue-collar,married,primary,yes,no,,15,march,180,5373,9720
10024651,42,entrepreneur,married,primary,yes,no,,15,april,314,24183,35640
10024652,35,self-employed,married,primary,yes,no,,18,may,207,20408.4,196920
10024653,41,management,married,tertiary,yes,yes,,27,june,146,8877.6,25380
10024654,57,retired,married,primary,yes,no,,9,july,193,,37260
10024655,36,blue-collar,married,secondary,yes,no,,13,august,177,,-37080
10024656,56,management,divorced,tertiary,yes,no,,9,september,1040,9171,31860
10024657,33,blue-collar,divorced,primary,yes,no,,17,october,622,,31680
10024658,41,entrepreneur,divorced,tertiary,yes,no,,6,november,170,,-74340
10024659,33,blue-collar,married,primary,yes,no,,6,december,267,,-14580
10024660,35,management,divorced,tertiary,yes,no,,24,january,1084,94937.4,690660
10024661,43,management,married,tertiary,yes,yes,,4,february,528,21997.8,156600
10024662,36,admin.,single,secondary,yes,no,,8,march,183,13257,37080
10024663,37,technician,married,secondary,yes,no,,17,april,238,6973.2,56880
10024664,51,management,married,primary,yes,yes,,9,may,61,392.4,10260
10024665,28,housemaid,divorced,primary,yes,no,,11,june,923,,180
10024666,43,blue-collar,married,secondary,no,no,,8,july,70,,-1260
10024667,32,blue-collar,single,primary,yes,no,,13,august,541,16093.8,109980
10024668,36,entrepreneur,single,secondary,yes,no,,6,september,41,9937.8,28260
10024669,33,unemployed,single,secondary,yes,no,,24,october,221,16236,41940
10024670,39,admin.,married,secondary,yes,yes,,30,november,35,12312,75420
10024671,28,blue-collar,married,secondary,yes,no,,21,december,262,27478.8,24120
10024672,26,technician,single,secondary,no,no,,9,january,151,24091.2,375660
10024673,40,technician,married,tertiary,yes,no,,11,february,135,8839.8,18540
10024674,44,housemaid,married,secondary,yes,no,,18,march,604,10045.8,50580
10024675,34,management,married,tertiary,yes,no,,26,april,65,25878.6,23940
10024676,47,blue-collar,married,primary,yes,no,,27,may,380,40455,335700
10024677,55,blue-collar,single,tertiary,yes,no,,1,june,693,,58500
10024678,48,blue-collar,divorced,primary,yes,no,,22,july,11,,-3240
10024679,36,blue-collar,single,primary,yes,no,,21,august,405,31383,8820
10024680,31,management,single,tertiary,yes,yes,,22,september,20,34435.8,1339920
10024681,30,management,single,tertiary,yes,yes,,5,october,202,2676.6,10620
10024682,46,blue-collar,married,primary,yes,no,,13,november,235,6858,8100
10024683,30,admin.,single,secondary,yes,no,,6,december,75,2286,69660
10024684,32,blue-collar,single,secondary,yes,yes,,17,january,134,979.2,900
10024685,48,blue-collar,single,,yes,no,,9,february,101,4289.4,12780
10024686,48,admin.,single,secondary,yes,no,,26,march,255,4320,17280
10024687,36,services,single,tertiary,yes,no,,22,april,80,18259.2,12960
10024688,41,admin.,single,secondary,yes,no,,22,may,462,28951.2,308700
10024689,49,admin.,single,primary,yes,no,,14,june,161,3126.6,32580
10024690,26,blue-collar,married,secondary,yes,no,,6,july,200,1873.8,3600
10024691,38,management,married,secondary,yes,no,,17,august,56,3771,11700
10024692,27,student,single,secondary,yes,no,,16,september,238,7030.8,14580
10024693,51,retired,married,secondary,yes,yes,,6,october,418,26235,40680
10024694,33,admin.,divorced,secondary,yes,no,,9,november,139,42102,203040
10024695,53,unemployed,married,secondary,yes,no,,5,december,96,93898.8,104760
10024696,36,technician,married,secondary,yes,no,,8,january,39,51782.4,1009980
10024697,48,technician,divorced,secondary,yes,no,,27,february,471,9300.6,31860
10024698,27,admin.,single,secondary,yes,no,,21,march,231,0,32580
10024699,42,technician,married,secondary,yes,no,,20,april,66,0,0
10024700,61,blue-collar,married,primary,yes,no,,6,may,204,25261.2,132120
10024701,31,self-employed,married,tertiary,yes,no,,30,june,159,10792.8,57960
10024702,37,blue-collar,single,secondary,yes,no,,21,july,200,61192.8,24120
10024703,34,entrepreneur,married,tertiary,yes,no,,11,august,187,48450.6,1863000
10024704,55,technician,married,,yes,no,,24,september,166,11858.4,15120
10024705,24,services,married,secondary,yes,no,,26,october,144,20620.8,111600
10024706,41,technician,married,,yes,no,,14,november,690,0,45720
10024707,34,blue-collar,single,primary,yes,no,,5,december,323,0,0
10024708,29,blue-collar,married,secondary,yes,no,,2,january,194,46213.2,1062540
10024709,42,blue-collar,single,primary,yes,yes,,23,february,82,22352.4,24120
10024710,45,services,married,secondary,yes,no,,3,march,269,19692,248580
10024711,49,management,married,secondary,yes,no,,17,april,285,9450,18720
10024712,26,blue-collar,single,primary,yes,no,,26,may,101,42975,57240
10024713,35,technician,single,secondary,yes,no,,16,june,294,,387180
10024714,49,services,married,secondary,yes,no,,24,july,1119,,-1440
10024715,44,blue-collar,married,primary,yes,no,,24,august,249,29759.4,33300
10024716,41,management,married,tertiary,no,no,,28,september,106,13838.4,319140
10024717,50,blue-collar,married,primary,yes,no,,9,october,152,2179.8,7200
10024718,58,retired,married,tertiary,yes,no,,21,november,12,0,7920
10024719,43,blue-collar,married,secondary,yes,no,,30,december,187,0,0
10024720,34,management,married,tertiary,yes,no,,7,january,214,0,0
10024721,57,admin.,divorced,secondary,yes,no,,29,february,268,32761.8,550440
10024722,43,services,divorced,secondary,yes,no,,21,march,193,13339.8,23400
10024723,38,services,married,secondary,yes,no,,27,april,95,33991.2,91260
10024724,35,self-employed,married,tertiary,yes,no,,30,may,60,32306.4,151920
10024725,49,admin.,married,primary,yes,no,,25,june,381,,82440
10024726,33,blue-collar,married,primary,yes,no,,20,july,206,,-133920
10024727,60,retired,married,primary,yes,no,,12,august,75,,-360
10024728,33,technician,single,tertiary,yes,no,,19,september,128,11964.6,23220
10024729,33,services,divorced,secondary,yes,no,,6,october,216,26712,73980
10024730,47,management,married,tertiary,yes,no,,24,november,155,26053.2,115740
10024731,37,technician,single,,yes,no,,17,december,103,9190.8,70380
10024732,34,blue-collar,married,secondary,yes,yes,,25,january,494,1468.8,14400
10024733,32,technician,single,secondary,yes,no,,29,february,107,1755,1800
10024734,36,admin.,married,secondary,yes,yes,,17,march,147,554.4,20520
10024735,40,blue-collar,single,secondary,yes,no,,16,april,190,1902.6,180
10024736,57,management,married,tertiary,yes,no,,24,may,339,3805.2,241380
10024737,48,blue-collar,married,primary,yes,no,,19,june,198,5470.2,720
10024738,26,blue-collar,married,secondary,yes,no,,27,july,141,211057.2,498600
10024739,30,management,single,tertiary,yes,no,,2,august,255,29739.6,1072080
10024740,41,admin.,married,secondary,yes,no,,16,september,1120,4410,9900
10024741,30,self-employed,married,secondary,yes,no,,7,october,306,26208,23580
10024742,35,management,married,tertiary,yes,no,,7,november,249,39528,349560
10024743,36,entrepreneur,married,,yes,no,,6,december,215,15301.8,53640
10024744,52,technician,married,secondary,no,no,,4,january,143,8172,52380
10024745,45,blue-collar,married,primary,yes,no,,24,february,162,13525.2,15300
10024746,35,management,single,tertiary,yes,no,,15,march,81,18086.4,143460
10024747,46,blue-collar,single,secondary,yes,no,,13,april,33,14050.8,27360
10024748,39,blue-collar,married,primary,yes,no,,12,may,204,9257.4,86580
10024749,38,management,married,tertiary,yes,no,,25,june,124,28587.6,11880
10024750,38,blue-collar,married,secondary,yes,no,,14,july,784,149209.2,825480
10024751,31,technician,single,tertiary,yes,no,,9,august,393,32680.8,323640
10024752,39,management,single,tertiary,yes,no,,1,september,87,20608.2,39600
10024753,32,blue-collar,married,secondary,yes,no,,20,october,108,29210.4,128700
10024754,32,services,married,secondary,yes,no,,2,november,207,10071,79560
10024755,26,student,single,secondary,yes,no,,27,december,278,8557.2,15300
10024756,35,technician,married,secondary,yes,no,,5,january,74,,57420
10024757,26,blue-collar,single,secondary,yes,no,,22,february,196,,-5220
10024758,33,admin.,single,secondary,no,no,,23,march,149,44292.6,54540
10024759,41,,single,primary,yes,no,,29,april,287,14167.8,431640
10024760,30,entrepreneur,married,secondary,no,no,,18,may,229,12382.2,5580
10024761,36,technician,single,secondary,yes,no,,28,june,154,99934.2,329760
10024762,46,services,married,secondary,yes,no,,25,july,357,4044.6,363420
10024763,30,blue-collar,married,primary,yes,no,,25,august,147,1792.8,540
10024764,46,services,married,secondary,no,no,,16,september,93,35276.4,71460
10024765,38,technician,married,tertiary,yes,no,,9,october,665,49352.4,208980
10024766,24,technician,single,tertiary,yes,no,,22,november,131,9930.6,139860
10024767,41,management,divorced,tertiary,yes,no,,12,december,160,,8460
10024768,28,technician,married,primary,yes,no,,13,january,74,,-10440
10024769,55,unemployed,single,tertiary,yes,no,,24,february,60,22233.6,272340
10024770,40,management,married,tertiary,no,no,,24,march,82,17184.6,21780
10024771,38,management,divorced,tertiary,yes,no,,20,april,475,41245.2,162720
10024772,40,technician,married,secondary,yes,no,,16,may,111,39783.6,125460
10024773,54,services,married,secondary,yes,,,7,june,284,128898,151380
10024774,49,housemaid,married,secondary,yes,,,25,july,140,,1317060
10024775,44,blue-collar,married,secondary,yes,,,21,august,110,,-17100
10024776,32,management,single,tertiary,yes,,,30,september,64,22514.4,135180
10024777,36,blue-collar,married,primary,yes,,,22,october,149,15696,45000
10024778,35,technician,single,secondary,yes,,,29,november,256,35998.2,65700
10024779,31,management,single,tertiary,yes,no,,24,december,156,15192,236700
10024780,34,technician,married,secondary,yes,no,,23,january,63,18028.8,11700
10024781,36,management,married,tertiary,no,no,,29,february,362,,333360
10024782,44,admin.,single,secondary,yes,no,,11,march,32,,-15120
10024783,44,blue-collar,single,secondary,yes,no,,17,april,712,3484.8,6480
10024784,51,blue-collar,married,,yes,no,,26,may,102,0,22500
10024785,36,blue-collar,married,secondary,no,no,,14,june,338,0,0
10024786,37,blue-collar,married,secondary,yes,no,,26,july,69,11066.4,18900
10024787,31,services,married,secondary,yes,no,,16,august,446,25443,77760
10024788,42,blue-collar,married,primary,yes,no,,3,september,249,,99900
10024789,55,entrepreneur,married,primary,yes,no,,24,october,176,,-4320
10024790,57,management,married,tertiary,yes,no,,13,november,1007,70057.8,406980
10024791,33,services,married,secondary,yes,yes,,14,december,266,,144720
10024792,44,blue-collar,married,secondary,yes,no,,7,january,172,,-111060
10024793,30,technician,married,secondary,yes,no,,4,february,323,,-180
10024794,37,services,married,secondary,yes,no,,9,march,175,18135,42660
10024795,32,admin.,married,secondary,yes,no,,19,april,459,52525.8,92520
10024796,33,blue-collar,married,secondary,yes,no,,7,may,211,51337.8,357840
10024797,31,technician,single,tertiary,yes,no,,3,june,237,29914.2,88380
10024798,46,technician,married,tertiary,yes,no,,28,july,50,17960.4,121500
10024799,34,blue-collar,single,secondary,yes,no,,3,august,500,12747.6,31860
10024800,51,admin.,divorced,secondary,yes,no,,24,september,186,14531.4,61200
10024801,49,technician,married,primary,yes,no,,8,october,96,0,41400
10024802,52,management,single,tertiary,no,no,,19,november,98,0,0
10024803,43,technician,married,tertiary,yes,no,,14,december,364,0,419580
10024804,35,blue-collar,divorced,secondary,yes,no,,16,january,477,0,0
10024805,27,student,single,secondary,yes,no,,9,february,319,10440,39060
10024806,43,blue-collar,married,primary,yes,no,,19,march,178,9185.4,33480
10024807,49,admin.,divorced,secondary,yes,yes,,24,april,513,8110.8,30240
10024808,50,services,divorced,secondary,yes,no,,5,may,170,7403.4,26100
10024809,33,admin.,divorced,secondary,yes,no,,25,june,139,,25200
10024810,49,services,married,secondary,yes,no,,7,july,70,,-3960
10024811,50,technician,married,secondary,yes,no,,27,august,110,18419.4,70020
10024812,42,admin.,married,secondary,yes,yes,,1,september,280,2287.8,58140
10024813,28,services,married,secondary,yes,no,,16,october,667,1909.8,1080
10024814,41,technician,married,secondary,yes,yes,,21,november,63,9288,40500
10024815,34,services,married,secondary,yes,no,,16,december,159,1384.2,25560
10024816,58,blue-collar,married,primary,no,no,,8,january,177,1531.8,900
10024817,46,blue-collar,married,primary,yes,yes,,21,february,108,,31320
10024818,46,blue-collar,married,primary,yes,no,,26,march,194,,-138240
10024819,42,blue-collar,married,secondary,no,no,,27,april,366,8854.2,5400
10024820,40,blue-collar,married,primary,yes,yes,,15,may,213,11082.6,174240
10024821,42,blue-collar,divorced,secondary,yes,yes,,16,june,141,0,8460
10024822,33,entrepreneur,married,secondary,yes,yes,,24,july,982,0,0
10024823,27,services,married,primary,yes,no,,5,august,168,,16380
10024824,43,blue-collar,married,primary,yes,no,,14,september,468,,-13860
10024825,28,blue-collar,married,,yes,no,,13,october,180,21153.6,87480
10024826,34,blue-collar,single,secondary,yes,no,,5,november,195,6784.2,61380
10024827,37,services,married,secondary,yes,no,,13,december,352,5261.4,9000
10024828,41,services,married,secondary,yes,no,,10,january,91,20536.2,36900
10024829,39,admin.,single,secondary,yes,no,,1,february,288,7986.6,137160
10024830,37,technician,single,tertiary,yes,no,,18,march,72,,5580
10024831,41,unemployed,married,primary,yes,no,,11,april,218,,-104580
10024832,36,services,single,secondary,yes,no,,25,may,289,,-8100
10024833,51,blue-collar,married,primary,no,no,,9,june,384,0,0
10024834,28,self-employed,married,tertiary,yes,yes,,13,july,130,10418.4,21600
10024835,31,blue-collar,married,secondary,yes,no,,28,august,226,,60300
10024836,33,services,married,secondary,yes,no,,2,september,208,,-41760
10024837,28,admin.,divorced,secondary,yes,no,,8,october,442,7704,141300
10024838,31,services,married,secondary,yes,no,,26,november,101,12501,5040
10024839,43,management,single,tertiary,yes,no,,11,december,756,50002.2,372060
10024840,48,blue-collar,married,primary,yes,no,,4,january,189,6690.6,80640
10024841,26,student,single,tertiary,yes,no,,17,february,108,5482.8,6660
10024842,34,technician,single,tertiary,yes,no,,27,march,205,23299.2,54180
10024843,38,blue-collar,married,primary,no,no,,11,april,238,14401.8,120240
10024844,51,admin.,divorced,secondary,yes,yes,,25,may,136,9241.2,20700
10024845,49,admin.,single,secondary,no,no,,9,june,14,17532,49500
10024846,60,retired,married,primary,no,no,,22,july,395,1830.6,74520
10024847,32,management,single,tertiary,yes,no,,13,august,161,2005.2,540
10024848,36,admin.,divorced,secondary,no,no,,26,september,269,14173.2,89280
10024849,28,management,single,tertiary,yes,no,,6,october,491,8125.2,27000
10024850,34,management,single,tertiary,no,no,,14,november,44,24120,29340
10024851,40,admin.,single,secondary,yes,no,,8,december,26,78193.8,237960
10024852,33,housemaid,married,primary,yes,no,,8,january,22,33454.8,308340
10024853,37,admin.,married,primary,yes,no,,23,february,161,,43560
10024854,40,management,married,tertiary,no,no,,1,march,406,,-5220
10024855,59,retired,divorced,tertiary,yes,no,,8,april,422,9183.6,68580
10024856,39,blue-collar,single,secondary,yes,no,,4,may,147,2156.4,14760
10024857,28,management,single,tertiary,yes,no,,6,june,219,10105.2,3780
10024858,30,services,married,secondary,yes,no,,13,july,807,55785.6,324180
10024859,40,blue-collar,married,primary,yes,yes,,21,august,347,13973.4,115200
10024860,28,blue-collar,married,primary,yes,no,,24,september,534,17830.8,20340
10024861,39,blue-collar,married,secondary,yes,no,,27,october,58,25984.8,187560
10024862,44,services,divorced,secondary,yes,no,,8,november,155,,43200
10024863,39,services,single,secondary,yes,no,,18,december,152,,-43920
10024864,30,blue-collar,married,primary,yes,yes,,27,january,461,,12600
10024865,35,blue-collar,married,secondary,yes,no,,2,february,389,,-61020
10024866,31,management,married,tertiary,yes,no,,14,march,314,13951.8,10620
10024867,47,management,married,primary,yes,no,,21,april,28,,219960
10024868,26,student,single,,yes,no,,13,may,229,,-7380
10024869,25,blue-collar,single,secondary,yes,no,,4,june,30,0,0
10024870,42,management,married,tertiary,yes,no,,9,july,103,253.8,1080
10024871,30,blue-collar,married,primary,yes,no,,11,august,32,464.4,720
10024872,28,services,married,secondary,yes,yes,,9,september,252,6759,3600
10024873,46,admin.,divorced,tertiary,yes,no,,17,october,369,27786.6,152280
10024874,43,blue-collar,divorced,secondary,yes,no,,30,november,116,9063,60840
10024875,38,technician,married,,yes,yes,,10,december,20,9932.4,16200
10024876,31,blue-collar,married,primary,yes,no,,8,january,31,1481.4,73080
10024877,29,services,single,secondary,no,no,,17,february,190,3456,360
10024878,34,services,married,secondary,no,no,,6,march,149,22789.8,397980
10024879,40,blue-collar,married,primary,yes,no,,13,april,210,6465.6,15660
10024880,30,technician,single,tertiary,yes,no,,8,may,234,9428.4,32040
10024881,44,technician,married,,yes,yes,,7,june,63,,33300
10024882,38,blue-collar,married,secondary,yes,no,,23,july,21,,-37800
10024883,43,management,divorced,tertiary,yes,no,,18,august,2087,1024.2,69840
10024884,32,blue-collar,married,secondary,yes,no,,13,september,102,1540.8,180
10024885,33,management,married,secondary,yes,no,,17,october,245,22536,158220
10024886,32,blue-collar,married,secondary,yes,no,,11,november,190,20082.6,38520
10024887,40,technician,married,,yes,no,,8,december,223,54928.8,125640
10024888,34,management,married,tertiary,yes,no,,11,january,650,55672.2,288180
10024889,30,blue-collar,married,secondary,yes,no,,11,february,42,22219.2,129060
10024890,53,blue-collar,divorced,primary,yes,no,,4,march,206,16068.6,45900
10024891,39,management,single,tertiary,yes,no,,28,april,66,24379.2,67500
10024892,46,blue-collar,married,primary,yes,no,,25,may,173,31948.2,105660
10024893,32,management,married,tertiary,yes,yes,,26,june,477,,115920
10024894,60,technician,married,,yes,no,,10,july,77,,0
10024895,40,management,single,tertiary,yes,no,,9,august,219,,-49500
10024896,47,blue-collar,married,secondary,yes,,,16,september,376,3403.8,20880
10024897,25,entrepreneur,married,tertiary,yes,yes,,14,october,453,8672.4,6660
10024898,44,blue-collar,married,primary,yes,no,,2,november,151,18147.6,135540
10024899,38,blue-collar,single,primary,yes,no,,3,december,200,20746.8,29160
10024900,45,admin.,divorced,secondary,yes,no,,18,january,298,22993.2,177120
10024901,34,blue-collar,married,secondary,yes,no,,23,february,627,11379.6,35820
10024902,36,services,divorced,secondary,yes,no,,4,march,133,20534.4,43380
10024903,30,blue-collar,single,secondary,yes,yes,,1,april,287,39835.8,116640
10024904,35,blue-collar,single,secondary,yes,yes,,12,may,242,124426.8,163260
10024905,39,unemployed,divorced,secondary,no,no,,14,june,184,46191.6,1137960
10024906,46,blue-collar,married,secondary,yes,yes,,7,july,119,5511.6,22500
10024907,36,self-employed,married,primary,yes,no,,4,august,403,3621.6,16200
10024908,22,technician,single,secondary,yes,yes,,11,september,626,,9720
10024909,26,blue-collar,single,secondary,no,no,,9,october,12,,-23760
10024910,48,admin.,divorced,secondary,no,no,,7,november,266,14434.2,48060
10024911,32,blue-collar,married,primary,yes,no,,7,december,23,21870,52020
10024912,58,self-employed,divorced,secondary,yes,no,,10,january,154,31982.4,110340
10024913,57,entrepreneur,married,,yes,no,,12,february,10,54590.4,111240
10024914,53,management,married,tertiary,yes,no,,29,march,66,54102.6,321480
10024915,29,management,divorced,tertiary,yes,yes,,14,april,240,30990.6,109260
10024916,34,services,married,secondary,yes,yes,,10,may,224,26947.8,105480
10024917,32,services,single,secondary,yes,no,,11,june,202,19216.8,82620
10024918,55,entrepreneur,married,primary,yes,no,,4,july,144,10384.2,53640
10024919,50,blue-collar,divorced,primary,no,no,,19,august,263,3508.2,24120
10024920,43,blue-collar,married,primary,yes,no,,28,september,543,11246.4,6120
10024921,44,services,single,secondary,yes,no,,23,october,257,39389.4,248040
10024922,27,blue-collar,married,tertiary,yes,yes,,15,november,237,5304.6,75060
10024923,35,blue-collar,married,secondary,yes,no,,5,december,23,1218.6,4500
10024924,45,services,married,secondary,yes,no,,3,january,209,4861.8,3960
10024925,35,blue-collar,single,primary,yes,no,,17,february,34,35366.4,71640
10024926,49,blue-collar,single,primary,yes,no,,22,march,72,39123,209520
10024927,34,management,married,secondary,yes,no,,11,april,442,37492.2,87660
10024928,46,admin.,married,secondary,yes,no,,29,may,45,,192420
10024929,43,blue-collar,married,primary,yes,no,,9,june,1120,,-34560
10024930,42,retired,married,primary,yes,no,,4,july,186,0,0
10024931,55,blue-collar,married,primary,yes,no,,13,august,318,10414.8,59760
10024932,37,blue-collar,married,secondary,yes,no,,17,september,617,4714.2,21780
10024933,31,blue-collar,married,primary,yes,no,,18,october,226,,12240
10024934,57,blue-collar,divorced,primary,yes,no,,27,november,275,,-31680
10024935,33,blue-collar,married,secondary,yes,,,9,december,81,,94860
10024936,43,services,single,,yes,no,,21,january,74,62935.2,34740
10024937,60,blue-collar,divorced,primary,yes,no,,10,february,285,124147.8,1368180
10024938,51,management,married,tertiary,no,no,,6,march,261,31681.8,135180
10024939,38,blue-collar,single,,yes,no,,4,april,297,29925,89100
10024940,37,technician,single,secondary,yes,no,,10,may,78,25624.8,120600
10024941,41,blue-collar,single,secondary,yes,no,,26,june,183,19197,65340
10024942,42,blue-collar,married,secondary,yes,no,,19,july,15,17217,67680
10024943,41,management,divorced,tertiary,yes,no,,6,august,352,0,52560
10024944,33,technician,married,,no,no,,15,september,345,0,0
10024945,32,admin.,single,secondary,yes,no,,20,october,230,6303.6,33120
10024946,30,services,married,secondary,yes,no,,7,november,185,19848.6,14400
10024947,43,technician,married,secondary,yes,no,,18,december,296,118472.4,328320
10024948,30,blue-collar,married,secondary,no,no,,22,january,181,19218.6,513000
10024949,37,blue-collar,divorced,secondary,yes,no,,30,february,133,3139.2,8640
10024950,34,management,married,tertiary,no,no,,23,march,335,8303.4,13680
10024951,32,unemployed,single,tertiary,yes,no,,8,april,139,0,60480
10024952,42,technician,married,secondary,no,yes,,1,may,7,0,0
10024953,35,technician,single,secondary,yes,no,,11,june,163,10972.8,77940
10024954,34,blue-collar,married,secondary,yes,yes,,30,july,956,17991,18540
10024955,50,blue-collar,married,primary,yes,no,,4,august,166,20134.8,209520
10024956,34,blue-collar,married,secondary,yes,no,,22,september,71,45228.6,23220
10024957,38,services,divorced,secondary,no,no,,23,october,191,0,1057140
10024958,28,blue-collar,married,secondary,yes,no,,11,november,459,0,0
10024959,55,blue-collar,married,primary,yes,no,,17,december,292,8953.2,14760
10024960,38,blue-collar,married,primary,yes,no,,27,january,100,13483.8,65160
10024961,31,blue-collar,married,secondary,yes,no,,23,february,257,24712.2,33480
10024962,57,admin.,married,secondary,yes,no,,7,march,255,48076.2,218880
10024963,50,management,divorced,tertiary,yes,no,,13,april,233,19740.6,126720
10024964,47,blue-collar,married,primary,yes,no,,2,may,128,21434.4,36900
10024965,39,blue-collar,married,primary,yes,no,,30,june,246,,149400
10024966,34,services,married,secondary,yes,no,,21,july,56,,-56700
10024967,41,technician,married,secondary,yes,yes,,26,august,210,,11520
10024968,59,entrepreneur,married,tertiary,no,no,,21,september,43,,-147600
10024969,35,self-employed,single,tertiary,yes,yes,,22,october,21,37108.8,96840
10024970,31,technician,single,tertiary,yes,no,,3,november,91,57418.2,170640
10024971,55,management,married,tertiary,yes,no,,8,december,67,15602.4,231840
10024972,36,blue-collar,married,,yes,no,,5,january,219,8618.4,12600
10024973,41,management,married,tertiary,yes,no,,10,february,110,19679.4,70740
10024974,44,technician,single,secondary,yes,,,5,march,169,29431.8,65700
10024975,40,blue-collar,single,secondary,yes,yes,,28,april,248,34137,158220
10024976,32,blue-collar,married,secondary,yes,no,,16,may,223,0,88380
10024977,38,management,single,tertiary,yes,no,,4,june,92,0,0
10024978,27,student,single,secondary,no,no,,14,july,93,0,0
10024979,33,unemployed,married,secondary,yes,no,,14,august,205,3688.2,41220
10024980,37,services,married,secondary,yes,yes,,25,september,160,5819.4,3960
10024981,40,management,married,tertiary,yes,no,,17,october,105,9284.4,102600
